type,year,state,abb,region,division,barley,corn,cotton_els,cotton_upland,oats,rice,sorghum,soybeans,sugar_beets,sugarcane,wheat
plant and fail,2009,Alaska,AK,West,Pacific,4628.12,,,,989.8900000000001,,,,,,86.27
plant and fail,2009,Alabama,AL,South,East South Central,49.9,233734.30000000002,,251648.34999999998,17908.519999999997,,6610.0599999999995,412508.55,,2.9,160572.52000000002
plant and fail,2009,Arkansas,AR,South,West South Central,,422820.97,,520471.12000000005,5138.9,1481063.7999999998,37318.73,3414793.3800000004,,,411674.76999999996
plant and fail,2009,Arizona,AZ,West,Mountain,41428.2,45978.99999999999,1622.6,140509.4,8696.199999999999,,26825.36,1.0,,,110972.0
plant and fail,2009,California,CA,West,Pacific,78949.15999999999,482984.38,116820.95,69393.28,237245.88,539250.27,37135.30999999999,174.09,17141.589999999997,668.0,766512.3699999999
plant and fail,2009,Colorado,CO,West,Mountain,66751.29,1065002.42,,4.0,42261.18,,104241.83,13112.739999999998,35360.19,,2526919.6799999997
plant and fail,2009,Connecticut,CT,Northeast,New England,5.5,26234.730000000003,,,62.67,,14.56,87.60000000000001,,,17.9
plant and fail,2009,Delaware,DE,South,South Atlantic,25300.84,166285.53000000003,,,487.9,,832.7,174336.97,,,62663.09999999999
plant and fail,2009,Florida,FL,South,South Atlantic,,59201.44000000002,,80867.75,12540.480000000003,9019.5,3899.92,36253.58,,217990.47,15527.93
plant and fail,2009,Georgia,GA,South,South Atlantic,488.1,410016.55,,989675.1399999998,42841.22,,45065.65999999998,451473.44000000006,,14.7,295630.5899999999
plant and fail,2009,Hawaii,HI,West,Pacific,,169.0,,,,,,,,42387.270000000004,
plant and fail,2009,Iowa,IA,North Central,West North Central,5446.4,13266779.350000003,,,194114.84999999998,,1655.3200000000004,9481676.549999997,1.5,,25707.879999999997
plant and fail,2009,Idaho,ID,West,Mountain,495617.73999999993,285014.21,,,56043.88000000001,,1121.47,10.8,172687.20000000004,,1277925.7000000004
plant and fail,2009,Illinois,IL,North Central,East North Central,417.49,11726684.119999995,,,25652.010000000002,988.63,28689.390000000003,9287366.480000002,,,814669.1900000004
plant and fail,2009,Indiana,IN,North Central,East North Central,1202.9900000000002,5500239.69,,,6087.97,,8969.139999999998,5414854.099999999,,,449358.28000000014
plant and fail,2009,Kansas,KS,North Central,West North Central,11685.190000000002,4019701.7700000005,,36443.24,73704.01,73.98,2358079.970000002,3666158.709999999,,,9138134.85
plant and fail,2009,Kentucky,KY,South,East South Central,6715.15,1163723.8099999994,,,1688.1699999999996,82.0,3778.53,1405614.1099999992,,12.4,426878.42000000033
plant and fail,2009,Louisiana,LA,South,West South Central,,623684.6800000002,,222998.65999999997,3492.8899999999994,466241.88999999996,67793.31,1008741.5400000003,,424972.3799999999,178503.89
plant and fail,2009,Massachusetts,MA,Northeast,New England,9.8,19300.989999999998,,,234.88,,57.849999999999994,434.97,,,6.44
plant and fail,2009,Maryland,MD,South,South Atlantic,46826.72,426549.8299999999,,1.0,3081.9199999999996,,5806.3,474412.7799999999,,,189136.07999999996
plant and fail,2009,Maine,ME,Northeast,New England,13826.3,27735.190000000006,,,31692.449999999997,,12.7,1508.83,,,1418.1
plant and fail,2009,Michigan,MI,North Central,East North Central,8640.95,2293456.9100000006,,,47048.749999999985,,1119.37,1958018.9899999995,139614.91999999998,,592142.9599999997
plant and fail,2009,Minnesota,MN,North Central,West North Central,80198.65999999996,7623028.89,,,186764.54,,1364.5700000000002,7122249.330000002,465030.88000000006,,1595887.6999999997
plant and fail,2009,Missouri,MO,North Central,West North Central,2148.8500000000004,2904136.34,,271336.47,9810.799999999994,199201.28000000003,40739.229999999996,5292037.960000002,,,717863.4800000003
plant and fail,2009,Mississippi,MS,South,East South Central,,698759.1799999997,,298085.8,1143.5900000000001,239537.26,8687.119999999999,2144428.429999999,,,155568.33999999997
plant and fail,2009,Montana,MT,West,Mountain,819897.81,66200.64,,,60809.09999999996,,178.10000000000002,1422.1999999999998,40245.43000000001,,5291578.509999999
plant and fail,2009,North Carolina,NC,South,South Atlantic,21228.21000000001,843278.9900000002,,370409.5299999999,22351.73000000001,,15112.469999999998,1777082.960000001,1.95,158.9,614947.2300000001
plant and fail,2009,North Dakota,ND,North Central,West North Central,1115774.0899999994,1893110.6700000004,,,300958.9799999999,,2692.6499999999996,3850988.0200000005,225038.15000000002,,8486504.849999998
plant and fail,2009,Nebraska,NE,North Central,West North Central,4746.45,9134828.07,,6.8,89530.74999999996,,133863.56000000006,4755782.120000001,53515.47,,1680446.65
plant and fail,2009,New Hampshire,NH,Northeast,New England,4.24,14034.28,,,52.029999999999994,,32.1,0.01,,,3.38
plant and fail,2009,New Jersey,NJ,Northeast,Middle Atlantic,2716.0000000000005,74356.56000000003,,,1505.2,,609.3,85908.10999999999,15.2,,28078.800000000003
plant and fail,2009,New Mexico,NM,West,Mountain,8760.42,122922.53000000001,2758.0,33740.509999999995,12100.439999999999,,66663.48,91.3,,,446332.5200000001
plant and fail,2009,Nevada,NV,West,Mountain,1348.8399999999997,2189.1,,,2122.99,,208.4,,,,12422.770000000002
plant and fail,2009,New York,NY,Northeast,Middle Atlantic,7583.07,958097.1099999993,,,60780.65000000001,,376.70000000000005,249870.36999999997,,,94032.18
