type,year,state,abb,standard_fed_regions,region,division,barley,corn,cotton_els,cotton_upland,oats,rice,sorghum,soybeans,sugar_beets,sugarcane,wheat
plant and fail,2007,Alabama,AL,region IV,South,East South Central,51.6,296714.46,NA,399311.63,27427.9,NA,7191.399999999999,177060.41,NA,1.9000000000000001,90128.77
plant and fail,2007,Alaska,AK,region X,West,Pacific,3488.12,NA,NA,NA,988.1899999999999,NA,NA,NA,NA,NA,141.4
plant and fail,2007,Arizona,AZ,region IX,West,Mountain,34839.24999999999,53277.4,2137.1,166483.6,11593.900000000001,NA,37299.1,3.9,NA,NA,82433.9
plant and fail,2007,Arkansas,AR,region VI,South,West South Central,NA,594242.5199999999,175,859648.2099999998,9727.939999999999,1328124.14,219854.32999999993,2816072.730000001,NA,NA,818382.2700000001
plant and fail,2007,California,CA,region IX,West,Pacific,75316.58999999997,558313.6099999998,250575.88,198210.56999999995,224785.49999999997,528463.4500000001,30490.220000000005,NA,37366.04,557,609854.7000000002
plant and fail,2007,Colorado,CO,region VIII,West,Mountain,51178.76000000001,1168974.0899999999,NA,NA,61765.490000000005,NA,145919.40999999995,3621.8999999999996,32003.940000000002,NA,2418799.77
plant and fail,2007,Connecticut,CT,region I,Northeast,New England,3.4,26582.949999999997,NA,NA,53.67,NA,33.33,270.4,NA,NA,4.71
plant and fail,2007,Delaware,DE,region III,South,South Atlantic,18721.51,194619.11,NA,NA,241,NA,624.8,146733.45,NA,NA,54771.2
plant and fail,2007,Florida,FL,region IV,South,South Atlantic,NA,72516.89,NA,83810.00000000001,16605.149999999994,15425.47,4598.259999999999,14181.880000000005,NA,232839.91,12907.700000000004
plant and fail,2007,Georgia,GA,region IV,South,South Atlantic,654.5,498850.7499999999,NA,1024119.4600000003,58123.340000000004,NA,55676.21999999998,280073.94999999995,NA,47.400000000000006,331827.5199999999
plant and fail,2007,Guam,GU,region IX,NA,NA,NA,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
plant and fail,2007,Hawaii,HI,region IX,West,Pacific,NA,21.81,NA,NA,NA,NA,NA,NA,NA,33242.01,NA
plant and fail,2007,Idaho,ID,region X,West,Mountain,554874.0599999999,310754.3,NA,NA,58586.96999999998,NA,1302.59,132.1,182820.2,NA,1184832.8000000007
plant and fail,2007,Illinois,IL,region V,North Central,East North Central,1116.36,12978431.470000006,NA,NA,28453.059999999994,992.6700000000001,76109.58,8143591.280000001,NA,NA,949908.1199999998
plant and fail,2007,Indiana,IN,region V,North Central,East North Central,732.4699999999999,6346301.759999998,NA,NA,5772.04,NA,12580.869999999999,4686889.390000001,NA,5,409882.16000000015
plant and fail,2007,Iowa,IA,region VII,North Central,West North Central,4856.6,13946008.920000004,NA,NA,136583.95999999996,NA,3936.6899999999996,8474499.670000002,NA,NA,30588.770000000008
plant and fail,2007,Kansas,KS,region VII,North Central,West North Central,18651.79000000001,3851065.9199999985,NA,45629.7,82252.79,241.97,2510991.36,2558736.4099999988,NA,NA,10361680.190000005
plant and fail,2007,Kentucky,KY,region IV,South,East South Central,8335,1409838.709999999,NA,256.3,2841.1400000000003,82,10442.720000000001,1073896.4400000002,NA,10.48,387805.81999999983
plant and fail,2007,Louisiana,LA,region VI,South,West South Central,NA,731431.1700000003,NA,329316.0700000001,3472.0399999999995,376490.85,245725.05000000002,602403.3,NA,426795.0800000001,241719.34000000005
plant and fail,2007,Maine,ME,region I,Northeast,New England,16654.32,27671.18000000001,NA,NA,28383.38,NA,NA,867.84,NA,NA,292.82
plant and fail,2007,Maryland,MD,region III,South,South Atlantic,34981.47,508558.1499999999,NA,140.23,3584.38,NA,5263.28,390702.20999999996,NA,NA,156969.73000000004
plant and fail,2007,Massachusetts,MA,region I,Northeast,New England,7,19120.279999999995,NA,NA,78.4,NA,NA,221.92,NA,NA,66.17999999999999
plant and fail,2007,Michigan,MI,region V,North Central,East North Central,8239.390000000001,2600978.4100000015,NA,NA,41350.94999999999,NA,1167.2499999999998,1682467.9400000004,151114.55000000002,NA,526060.1600000001
plant and fail,2007,Minnesota,MN,region V,North Central,West North Central,116924.35,8383427.25,NA,NA,210446.59999999995,NA,2396.5600000000004,6207480.970000002,485304.6,NA,1707322.4600000002
plant and fail,2007,Mississippi,MS,region IV,South,East South Central,NA,909044.15,NA,655109.45,2147.7,185970.25,134441.62,1436049.4100000001,NA,NA,351653.9700000001
plant and fail,2007,Missouri,MO,region VII,North Central,West North Central,3380.6800000000003,3268882.1999999997,NA,381108.07999999996,13698.73,176990.7,105104.00000000003,4563812.319999998,NA,NA,1031413.4199999992
plant and fail,2007,Montana,MT,region VIII,West,Mountain,875229.6300000002,77876.52999999998,NA,NA,67899.7,NA,389.3,457.5,50195.399999999994,NA,5042979.440000001
plant and fail,2007,Nebraska,NE,region VII,North Central,West North Central,3216.1900000000005,9358016.989999998,NA,9.5,110067.10999999997,NA,232603.18,3786612.529999999,46592.88,NA,2061417.81
plant and fail,2007,Nevada,NV,region IX,West,Mountain,1635.8,2451.3999999999996,NA,NA,1570.13,NA,184.1,NA,NA,NA,16926.890000000003
plant and fail,2007,New Hampshire,NH,region I,Northeast,New England,27.56,13037.460000000001,NA,NA,9,NA,15,2,NA,NA,2.5
plant and fail,2007,New Jersey,NJ,region II,Northeast,Middle Atlantic,1875.1999999999998,82237.28000000003,NA,NA,1288.8000000000002,NA,1133.1000000000001,79193.35,16,NA,22562.3
plant and fail,2007,New Mexico,NM,region VI,West,Mountain,5667.9,125820.20000000003,4641.200000000001,48674.46,17574.239999999998,NA,95048.24999999999,38.5,NA,NA,526082.8900000002
plant and fail,2007,New York,NY,region II,Northeast,Middle Atlantic,9685.289999999999,960662.0200000005,NA,NA,62899.21000000001,NA,815.15,199670.82000000004,NA,NA,62461.29
plant and fail,2007,North Carolina,NC,region IV,South,South Atlantic,16258.590000000007,1072528.0999999999,NA,495156.79999999993,23288.110000000008,123.72999999999999,6755.910000000002,1409741.0199999998,1.3,19.35,563238.8699999995
